Modelo,Acuracia,Precisao,Sensibilidade,F1,AUC
SVM_Linear,0.7901234567901234,0.7905707059133077,0.7901234567901234,0.7900386720700597,0.9391289437585734
SVM_Radial,0.5370370370370371,0.8062015503875969,0.5370370370370371,0.5025242804362735,0.8811728395061729
SVM_Poly,0.4691358024691358,0.4619047619047619,0.46913580246913583,0.37854946644962917,0.8276748971193415
MLP,0.8580246913580247,0.8718932748538011,0.8580246913580246,0.8570683082725902,0.9866255144032922
Adaboost,0.7098765432098766,0.6917077916867277,0.7098765432098766,0.6838284045933823,0.9163808870598994
DecisionTree,0.6666666666666666,0.6649305555555555,0.6666666666666666,0.6501729952262076,0.75
RandomForest,0.8518518518518519,0.8648105625717566,0.8518518518518517,0.8509149424252606,0.9768232738911751
GradientBoosting,0.7530864197530864,0.7694503672115612,0.7530864197530865,0.746104667990588,0.9238111568358481
LogisticRegression,0.7839506172839507,0.8062169312169312,0.7839506172839507,0.7897569402724042,0.9279835390946501
KNN,0.845679012345679,0.8624031007751939,0.8456790123456789,0.843367989228967,0.8948616826703247
ExtraTrees,0.7839506172839507,0.8080050031269543,0.7839506172839507,0.7787862345648563,0.9503886602652035
NaiveBayes,0.8024691358024691,0.8502564102564104,0.8024691358024691,0.7745732319855726,0.9551897576588934
Bagging,0.7654320987654321,0.7609894273284837,0.7654320987654321,0.7569201672680709,0.9170381801554641
SGD,0.8950617283950617,0.9102564102564102,0.8950617283950617,0.8893727531498431,0.9876543209876543
